1;<Manuel Rosa de Oliveira Lino>;[Bioquímica, Economia, Engenharia Civil];[Estatística Sócio-Econômica, Lipídeos, Processos Construtivos]
26;<Renato Fileto>;[Ciência da Computação, Probabilidade e Estatística];[Análise de Dados, Banco de Dados, Bioinformática Estrutural, Engenharia de Software, Lógicas e Semântica de Programas, Sistemas de Informação]
27;<Lau Cheuk Lung>;[Ciência da Computação];[Algoritmos Distribuídos, Arquitetura de Sistemas de Computação, Engenharia de Software, Segurança Em Sistemas Distribuídos, Sistemas Distribuídos, Teleinformática, Tolerância a Intrusões]
27;<Ricardo José Rabelo>;[Administração, Ciência da Computação, Engenharia de Produção];[Administração da Produção, Administração de Recursos Humanos, Arquitetura de Sistemas de Computação, Economia de Tecnologia, Engenharia de Software, Garantia de Controle de Qualidade, Modelos Analíticos e de Simulação, Planejamento de Instalações Industriais, Planejamento, Projeto e Controle de Sistemas de Produção, Sistemas de Informação, Software Básico, Suprimentos, Teleinformática]
28;<Fernando Mendes de Azevedo>;[Ciência da Computação, Educação, Engenharia Biomédica, Engenharia Elétrica, Engenharia de Transportes, Medicina];[Anestesiologia, Automação Eletrônica de Processos Elétricos e Industriais, Cardiologia, Circuitos Eletrônicos, Computabilidade e Modelos de Computação, Controle de Processos Eletrônicos, Retroalimentação, Engenharia de Software, Equipamentos Auxiliares e Controles, Gastroenterologia, Instrumentação Odontológica e Médico-Hospitalar, Linguagem Formais e Autômatos, Lógicas e Semântica de Programas, Modelagem de Fenômenos Biológicos, Modelagem de Sistemas Biológicos, Modelos Analíticos e de Simulação, Métodos e Técnicas de Ensino, Neurologia, Processamento Gráfico (Graphics), Processamento de Sinais Biológicos, Sistemas de Informação, Sistemas de Telecomunicações, Software Básico, Teleinformática, Transdutores para Aplicações Biomédicas]
28;<Jovelino Falqueto>;[Ciência da Computação, Engenharia Mecânica];[Controle Numérico, Engenharia de Software, Inteligência Artificial - Agentes, Inteligência Artificial - Redes Neurais Artificiais, Linguagem Formais e Autômatos, Sistema especialista fuzzy, Sistemas de Informação]
29;<Luismar Marques Porto>;[Bioquímica, Ciência da Computação, Engenharia Biomédica, Engenharia Mecânica, Engenharia Química, Engenharia de Materiais e Metalúrgica, Matemática, Microbiologia, Química];[Análise Numérica, Bacterologia, Biomateriais e Materiais Biocompatíveis, Cinética Química e Catálise, Engenharia de Tecidos, Linguagens de Programação, Mecânica dos Fluídos, Modelagem de Sistemas Biológicos, Operações de Separação e Mistura, Petróleo e Petroquímica, Processos Inorgânicos, Produtos Naturais, Proteínas, Reatores Químicos, Sistemas de Informação, Software Básico, Transferência de Calor, Tratamento de Minérios, Óleos]
30;<Francisco Antonio Pereira Fialho>;[Ciência da Computação, Engenharia de Produção, Psicologia];[Engenharia de Software, Ergonomia, Ergonomia Cognitiva, Lógicas e Semântica de Programas, Metodologia, Instrumentação e Equipamento em Psicologia]
31;<Alex Sandro Roschildt Pinto>;[Ciência da Computação];[Computação Paralela e Distribuída, Hardware, Inteligência Artificial, Redes Móveis, Redes de Computadores, Sistemas Para Internet]
32;<Jose Eduardo De Lucca>;[Administração, Ciência da Computação, Direito, Economia, Educação, Engenharia Biomédica, Letras];[Arquitetura de Sistemas de Computação, Banco de Dados, Direito Comercial, Educação Especial, Empreendedorismo, Engenharia de Software, Hardware, Inovação, Linguagem Formais e Autômatos, Linguagens de Programação, Localização, Lógicas e Semântica de Programas, Modelagem de Fenômenos Biológicos, Modelagem de Sistemas Biológicos, Mudança Tecnológica, Métodos e Técnicas de Ensino, Negócios Internacionais, Organização Industrial e  Estudos Industriais, Planejamento em Ciência e Tecnologia, Política e Planejamento Governamentais, Processamento Gráfico, Processamento Gráfico (Graphics), Sistemas de Informação, Software Básico, Tecnologia Educacional, Teleinformática, Teoria e Política de Planejamento Econômico, Tradução]
33;<Walter de Abreu Cybis>;[Ciência Política, Ciência da Computação, Educação, Engenharia de Produção, Saúde Coletiva];[Avaliação de Sistemas, Instituições, Planos e Programas Educacionais, Engenharia de Software, Engenharia de Usabilidade, Ergonomia, Estudos Eleitorais e Partidos Políticos, Interfaces Homem-Computador, Metodologia de Projeto do Produto, Métodos e Técnicas de Ensino, Planejamento Educacional, Sistemas de Informação, Tecnologia Educacional]
34;<Murilo Silva de Camargo>;[Ciência da Computação, Educação];[?	Administração, planejamento, financiamento e custos, ?	Gestão acadêmica e práticas educativas na universidade, Arquitetura de Sistemas de Computação, Computabilidade e Modelos de Computação, Diversidade na universidade: acesso, permanência , evasão e sucesso, Engenharia de Software, Lógicas e Semântica de Programas, Métodologias e Tecnologias de Apoio a Aprendizagem, Regulação, legislação e Avaliação, Sistemas Distribuídos, Teleinformática, Universidade e desenvolvimento da nação]
35;<Luiz Cláudio Villar dos Santos>;[Ciência da Computação];[Software Básico]
36;<Ricardo Azambuja Silveira>;[Administração, Ciência da Computação, Educação];[Administração de Recursos Humanos, Arquitetura de Sistemas de Computação, Lógicas e Semântica de Programas, Tecnologia Educacional]
37;<Vitório Bruno Mazzola>;[Ciência da Computação, Engenharia Elétrica];[Controle de Processos Eletrônicos, Retroalimentação, Engenharia de Software, Linguagem Formais e Autômatos, Lógicas e Semântica de Programas, Redes de Computadores, Software Básico, Transmissão da Energia Elétrica, Distribuição da Energia Elétrica]
38;<Roberto Willrich>;[Administração, Ciência da Computação, Educação, Engenharia Elétrica, Engenharia de Produção];[Arquitetura de Sistemas de Computação, Automação Eletrônica de Processos Elétricos e Industriais, Avaliação da Aprendizagem, Banco de Dados, Engenharia de Software, Hardware, Linguagem Formais e Autômatos, Linguagens de Programação, Lógicas e Semântica de Programas, Mercadologia, Modelos Analíticos e de Simulação, Métodos e Técnicas de Ensino, Planejamento, Projeto e Controle de Sistemas de Produção, Sistemas Eletrônicos de Medida e de Controle, Sistemas de Informação, Software Básico, Tecnologia Educacional, Teleinformática]
